transcript_name	trunc_start	trunc_end
lcl|CP139520.2_mrna_NM_017829.6_88010	74	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	120	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	121	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	122	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	133	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	136	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	147	1717
lcl|CP139520.2_mrna_NM_017829.6_88010	186	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	199	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	233	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	233	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	236	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	263	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	267	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	272	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	311	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	333	1716
lcl|CP139520.2_mrna_NM_017829.6_88010	344	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	347	1716
lcl|CP139520.2_mrna_NM_017829.6_88010	348	1716
lcl|CP139520.2_mrna_NM_017829.6_88010	357	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	370	733
lcl|CP139520.2_mrna_NM_017829.6_88010	374	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	380	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	390	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	393	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	402	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	427	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	428	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	465	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	493	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	527	1720
lcl|CP139520.2_mrna_NM_017829.6_88010	527	1697
lcl|CP139520.2_mrna_NM_017829.6_88010	528	1717
lcl|CP139520.2_mrna_NM_017829.6_88010	528	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	528	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	528	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1720
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	529	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	530	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	530	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	531	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	532	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	533	1720
lcl|CP139520.2_mrna_NM_017829.6_88010	535	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	536	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	539	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	578	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	589	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	591	1711
lcl|CP139520.2_mrna_NM_017829.6_88010	605	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	643	1716
lcl|CP139520.2_mrna_NM_017829.6_88010	657	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	672	1715
lcl|CP139520.2_mrna_NM_017829.6_88010	701	1726
lcl|CP139520.2_mrna_NM_017829.6_88010	702	1726
